formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,_col5
17/06/2025,121.21033941737998,2,0,2,1.2196398688199999
16/06/2025,1428.5471950303304,30,10,51,7.91997733778
15/06/2025,546.1002929024501,19,6,35,5.4888046825400005
14/06/2025,18010.234869439813,134,122,145,8.553213113189999
13/06/2025,1147.43620305782,14,1,37,11.554962713079998
12/06/2025,4198.873414024641,27,14,89,34.748718302149996
11/06/2025,6470.903441581878,32,11,84,65.15595883075
10/06/2025,325.78692419398993,8,1,42,3.274668001740001
09/06/2025,1550.3415767086303,14,5,54,15.654267520150004
08/06/2025,4697.321440112019,12,6,68,47.13730547096
07/06/2025,1123.4837461482698,2,0,3,11.234837309909999
06/06/2025,4794.5447813227875,23,5,168,48.192601937699976
05/06/2025,4826.668114886299,26,3,80,48.40054586443999
04/06/2025,6761.834292627058,28,4,103,67.97691717228
03/06/2025,15908.360474334342,31,7,70,159.80272752694
02/06/2025,7708.3552720101225,21,2,47,77.41227385613
01/06/2025,4740.234965727583,30,6,86,47.697157080690005
31/05/2025,3480.27073745251,29,6,76,35.09204045997999
30/05/2025,6121.594274965953,27,5,64,61.48101098383998
29/05/2025,5760.83380101422,39,9,177,57.849190124349995
28/05/2025,9694.286167171686,42,7,126,97.22303860415002
27/05/2025,6497.029308989042,38,5,102,65.17699507953002
26/05/2025,10057.644105811636,34,5,178,101.02001460603996
25/05/2025,13152.925291902748,52,16,159,132.12539745541
24/05/2025,3569.214830739528,23,4,145,35.806949643550034
23/05/2025,13020.175140751227,40,6,160,130.70806068920004
22/05/2025,17452.635296570566,69,11,150,175.06482785276
21/05/2025,165451.3341498317,128,26,1125,1651.6073352726398
20/05/2025,121358.79991041642,127,25,961,1214.1450451089308
19/05/2025,94418.80109759857,128,28,1039,936.97101784087
18/05/2025,184918.84190370055,95,33,1243,1848.7928997229005
17/05/2025,154233.19528765176,87,35,746,1542.3491719609399
16/05/2025,50709.67024301518,74,20,202,510.08678479232003
15/05/2025,18005.070992252797,67,10,150,180.81421326296
14/05/2025,30152.93425714259,86,15,178,303.0396754043399
13/05/2025,53537.558517180056,120,8,279,538.9620461338801
12/05/2025,199611.53237429183,421,34,2519,2005.2881941602586
11/05/2025,595505.9865032475,709,81,8188,5959.659968718108
10/05/2025,703948.2791619779,791,130,8769,7049.487655915062
09/05/2025,744175.504937781,854,113,9755,7445.842335385971
08/05/2025,1.0568489829735055e+06,982,137,13438,10576.867995864575
07/05/2025,933318.615163196,904,172,13449,9359.99391468693
06/05/2025,974336.9697225746,878,131,11919,9752.21991699835
05/05/2025,593926.3105706035,704,167,6753,5944.5961667711545
04/05/2025,495309.89302330476,580,103,6410,4963.038763609012
03/05/2025,461137.2699124934,585,106,6352,4621.128660644399
02/05/2025,557603.6709450232,622,114,7089,5580.785697400592
01/05/2025,523588.42780982755,665,145,6082,5242.644820328607
30/04/2025,542783.1353463702,699,136,7167,5434.616083662698
29/04/2025,525519.6440135174,754,157,6588,5263.077202998516
28/04/2025,441602.3025593713,648,102,6778,4422.706291644734
27/04/2025,409611.99841752363,609,78,5653,4101.11676152855
26/04/2025,546710.5608130305,705,95,6481,5477.067929187678
25/04/2025,687280.1077316754,871,148,8108,6884.758585119376
24/04/2025,646243.7893382311,924,187,9023,6470.39781951329
23/04/2025,1.3417445946136652e+06,1154,220,14670,13423.14923220327
22/04/2025,1.0510523104884205e+06,1063,161,12771,10533.87149934565
21/04/2025,1.1142771682868635e+06,1151,183,15314,11156.348078279278
20/04/2025,745298.183526864,954,152,10944,7457.048886717815
19/04/2025,972715.8118302526,997,132,13752,9732.568766082451
18/04/2025,1.0283462631164156e+06,1100,168,15542,10291.06377493473
17/04/2025,1.0804546538552549e+06,1290,182,17827,10820.55503206504
16/04/2025,1.4937361229579735e+06,1233,155,17310,14939.815144314774
15/04/2025,1.4023784729612796e+06,1379,199,20743,14036.093730432536
14/04/2025,1.316914577075745e+06,1351,209,20035,13181.396996619156
13/04/2025,1.2336191764610996e+06,1200,169,17796,12344.452423288356
12/04/2025,1.3586380588534712e+06,1245,159,20057,13603.293672876584
11/04/2025,1.2889002420220848e+06,1345,166,19416,12901.899434485847
10/04/2025,1.1383543128150078e+06,1356,222,19500,11393.247417169401
09/04/2025,807355.2207772915,1101,182,12886,8092.680160489503
08/04/2025,682836.9647193851,983,148,11323,6839.86724852244
07/04/2025,638648.0795292389,970,135,10828,6399.571761019394
06/04/2025,543233.8099866365,988,155,10556,5446.181552784332
05/04/2025,621504.0225420241,986,162,10123,6221.934743137219
04/04/2025,683372.7806617294,1051,142,11833,6842.482435495574
03/04/2025,740827.803140476,1190,186,13573,7420.361990857555
02/04/2025,1.117177323806706e+06,1397,180,17034,11185.796340406474
01/04/2025,942912.8884542233,1348,196,15466,9445.358525614802
31/03/2025,852609.3643773257,1315,184,14510,8554.447600480928
30/03/2025,688417.0955106562,1201,190,13970,6905.880105658918
29/03/2025,746978.3073123416,1295,200,14770,7482.977505752667
28/03/2025,985051.8880417017,1436,247,15923,9866.941514070873
27/03/2025,1.1863875181827426e+06,1549,210,17852,11877.627795362021
26/03/2025,1.4009798825394977e+06,1701,268,20400,14032.57740041557
25/03/2025,1.3138486641081332e+06,1702,258,22126,13153.53471546807
24/03/2025,1.399353125382929e+06,1974,440,22516,14020.61988570321
23/03/2025,968837.4631492384,1756,389,16731,9696.664799619843
22/03/2025,801651.4959704098,1487,205,16553,8028.309231694106
21/03/2025,751967.5193464229,1537,229,13766,7531.264800658163
20/03/2025,1.5594968139733511e+06,2242,346,27265,15656.572686561864
19/03/2025,2.040710878451592e+06,2241,305,35243,20462.500391096633
18/03/2025,1.983687195645269e+06,2444,313,35413,19900.084582999494
17/03/2025,2.5879723080963576e+06,2682,368,45608,25963.141666544187
16/03/2025,2.0800727827964579e+06,2549,319,39874,20863.748047676927
15/03/2025,2.885453520269596e+06,2713,372,46236,28956.010497696556
14/03/2025,2.671865469843441e+06,2867,415,45437,26788.23579074898
13/03/2025,2.847260820357467e+06,2807,410,50619,28551.239537488706
12/03/2025,2.821772620386939e+06,2720,349,46813,28296.106196841847
11/03/2025,2.7060461264795377e+06,2785,398,45684,27141.102460400056
10/03/2025,2.8819037544799913e+06,2911,404,52552,28907.48772741981
09/03/2025,2.9943035392425135e+06,2932,449,51646,30016.657895324915
08/03/2025,3.009933603034257e+06,3068,443,52763,30188.135931599554
07/03/2025,3.9286060672566458e+06,3699,466,63774,39432.608564789516
06/03/2025,3.2185075331207765e+06,3530,484,57262,32291.930741409913
05/03/2025,4.088112898907306e+06,3853,584,66638,41043.084502068596
04/03/2025,2.803344210136206e+06,3564,511,50607,28127.422916023424
03/03/2025,3.294489304603712e+06,3903,581,56232,33045.400645450005
02/03/2025,3.5648392642391413e+06,3753,585,56855,35746.06335214583
01/03/2025,2.065751032431266e+06,2962,434,42379,20715.01452715976
28/02/2025,2.605179852322063e+06,3467,530,52602,26139.14308308183
27/02/2025,3.0024742419059104e+06,3987,629,59729,30116.736421879563
26/02/2025,2.7351897826153184e+06,4011,662,57118,27439.00076531924
25/02/2025,3.1657609305852074e+06,4175,707,62656,31757.6294177449
24/02/2025,3.886378528127751e+06,4335,716,71271,38967.43829569344
23/02/2025,4.965872349967858e+06,4625,827,75113,49837.29986665684
22/02/2025,4.677883902445455e+06,4827,923,80874,46931.78580398835
21/02/2025,4.8693664761936795e+06,4920,814,79359,48851.58059227516
20/02/2025,5.616563563646777e+06,5211,950,82189,56374.86545045223
19/02/2025,4.815832990610447e+06,5135,801,75645,48324.75825222674
18/02/2025,5.127889293147119e+06,5192,860,76098,51468.11103844406
17/02/2025,5.420810218931468e+06,5651,991,88630,54389.31814884849
16/02/2025,5.745371583325149e+06,5878,1130,92661,57642.78052896378
15/02/2025,7.583985437564829e+06,6028,1153,107082,76117.09322321814
14/02/2025,9.440760761603478e+06,7108,1487,115132,94772.5189967045
13/02/2025,1.0564148156744508e+07,7238,1693,119228,106043.1063865958
12/02/2025,1.017385704525478e+07,6725,1336,116162,102156.52596149515
11/02/2025,1.1536802693204971e+07,7095,1193,120986,115828.22718886286
10/02/2025,1.5071629999068573e+07,8382,1562,145601,151373.79797900072
09/02/2025,1.720037050203111e+07,9593,1597,171777,172690.43696831027
08/02/2025,1.4103949855647668e+07,9065,1381,178403,141576.0577798331
07/02/2025,1.710199815825669e+07,10569,1880,201372,171641.0408779975
06/02/2025,1.4862965465184588e+07,10441,1813,187246,149148.41512335927
05/02/2025,1.9353452348165613e+07,10977,1760,216447,194267.54916003573
04/02/2025,2.3070140059362166e+07,10960,1615,234842,231491.28672269091
03/02/2025,2.3180418872165427e+07,10316,1528,248024,232524.44780635313
02/02/2025,2.307814210125544e+07,10418,1767,257847,231410.86145961864
01/02/2025,3.3784005028507344e+07,11897,2081,323615,339163.06577911624
31/01/2025,4.123753663608401e+07,12899,2748,364055,413441.9623341189
30/01/2025,5.307634901961729e+07,12936,2693,382460,530925.2248647932
29/01/2025,3.2068220918268166e+07,11155,2083,283217,319932.6214210304
28/01/2025,3.701116469429176e+07,11331,2133,320745,368546.53830242285
27/01/2025,3.9315559209885955e+07,10975,2160,312563,392870.01978722063
26/01/2025,3.879495171781952e+07,10360,2116,298993,387248.5718415648
25/01/2025,3.658354266981146e+07,9596,1821,271290,365446.3675356774
24/01/2025,3.807235251758123e+07,9452,1855,253649,380752.92785990494
23/01/2025,3.59164569890694e+07,8893,1958,231365,359071.81836043997
22/01/2025,2.635252924408746e+07,8643,1706,203377,263069.53223004326
21/01/2025,2.7401389379987657e+07,7743,1378,171797,273760.6131056652
20/01/2025,3.2682043480030958e+07,9963,1902,221359,326549.9676412512
19/01/2025,3.6993215912087396e+07,10043,1758,236462,368605.2688280539
18/01/2025,2.8774571130429246e+07,9080,1498,230225,286314.929337356
17/01/2025,2.0788465281905904e+07,7764,1379,194031,207080.78276619592
16/01/2025,1.8602327389169507e+07,7744,1297,193602,185278.02645990576
15/01/2025,1.963355904986144e+07,7748,1320,204535,195270.63450615812
14/01/2025,2.0852155629320227e+07,7654,1250,226219,207499.64639055534
13/01/2025,1.697428662721673e+07,7110,1156,185223,168177.8292444909
12/01/2025,2.1896435854456563e+07,7254,1156,233396,218211.5372188898
11/01/2025,2.1502350252851747e+07,7596,1448,221935,213947.69771216833
10/01/2025,1.894269286388501e+07,6923,1221,198149,188676.83693026297
09/01/2025,2.186992251011869e+07,7247,1432,210553,217835.46743248653
08/01/2025,1.8907725205290183e+07,6947,1452,185610,188298.57278181796
07/01/2025,1.9178730621939793e+07,6649,1397,173076,190876.6049629234
06/01/2025,1.6193787397796443e+07,6128,1380,146055,161291.2802477506
05/01/2025,1.7463571055295624e+07,6122,1325,151051,174105.89868978242
04/01/2025,1.838885917358582e+07,5782,1282,158033,183157.60920530025
03/01/2025,1.916548204322598e+07,5765,1288,162944,191169.7073887121
02/01/2025,1.5970180525976356e+07,5087,1092,146551,159065.47898621377
01/01/2025,1.1890217915390383e+07,4258,828,112349,118598.56601353125
31/12/2024,1.1500882928493688e+07,4153,852,107517,114697.59492121532
30/12/2024,1.1611987814878227e+07,4074,934,112364,115734.729897008
29/12/2024,9.644540426040648e+06,3818,880,98228,96282.01835018954
28/12/2024,1.0114534225434365e+07,3577,846,99908,100716.3235860336
27/12/2024,1.073155254908983e+07,3611,974,103054,106723.82665732603
26/12/2024,1.0944980883080333e+07,3190,832,98019,108980.56399313196
25/12/2024,6.185829507945384e+06,2396,499,59976,61592.03276903135
24/12/2024,6.57156235673829e+06,2557,565,66166,65410.52543386614
23/12/2024,7.566816728897048e+06,2615,627,71344,75335.16607904059
22/12/2024,6.506533953511889e+06,2306,580,64683,64792.33166319152
21/12/2024,5.995224244718068e+06,2212,592,56383,59828.36677868179
20/12/2024,6.993687916530326e+06,2115,555,52567,69821.29786646905
19/12/2024,5.456796797372309e+06,2174,626,50649,54344.05587524109
18/12/2024,5.970388462869172e+06,1988,543,47059,59376.62188431524
17/12/2024,5.096605995130152e+06,2096,716,40220,50660.18209434375
16/12/2024,4.360678787361933e+06,1602,438,33168,43375.011424138065
15/12/2024,3.7377346441311985e+06,1540,425,31707,37223.41435371618
14/12/2024,5.216515139605759e+06,1600,527,41238,51943.878249005684
13/12/2024,5.476571048643561e+06,1401,375,37031,54553.596401713105
12/12/2024,4.458176415629218e+06,1403,404,31485,44366.88952490944
11/12/2024,4.608952553512753e+06,1525,508,33423,45800.81173884748
10/12/2024,4.5599814286028445e+06,1345,426,29124,45277.99245768047
09/12/2024,3.339628090201315e+06,1184,410,24270,33185.45056908382
08/12/2024,2.8438565993695846e+06,917,274,18204,28285.396011130375
07/12/2024,2.4577525530755958e+06,861,317,16888,24467.93650487843
06/12/2024,2.371186432462173e+06,815,247,15272,23562.295167742763
05/12/2024,2.3335080286265304e+06,836,332,16489,23192.289748920717
04/12/2024,2.486781663174237e+06,749,408,15534,24679.832590861195
03/12/2024,1.766710904931198e+06,563,431,12751,17569.723710772698
02/12/2024,508004.2872604876,212,167,4807,5045.363315001961
01/12/2024,487531.7081208135,71,65,2197,4815.9743633693215
30/11/2024,6331.667744093319,6,6,29,63.25234060693999
